brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-green--peach-coloured-printed-straight-kurta/2111395/buy,Printed Straight Kurta,604,1099,"Green and peach-coloured printed straight kurta, has a round neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-maroon-solid-fringed-a-line-kurta/2111536/buy,Solid A-Line Kurta,815,1599,"Maroon solid fringed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-grey--brown-printed-a-line-kurta/2111534/buy,Printed A-Line Kurta,649,1299,"Grey and brown printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Viscose Machine-wash
AKS,kurtas/aks/aks-women-peach-coloured-solid-a-line-kurta/2111420/buy,Solid A-Line Kurta,999,1999,"Peach-coloured solid A-line kurta with printed detail on the back, has a shirt collar, three-quarter sleeves, flared hem, no slits",Cotton  Dry-clean
AKS,kurtas/aks/aks-women-brown--cream-coloured-printed-anarkali-kurta/2262288/buy,Printed Anarkali Kurta,899,1999,"Brown and cream-coloured printed Anarkali kurta with tie-ups, has a round neck, short sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-coral-pink--peach-coloured-printed-cold-shoulder-straight-kurta/2111513/buy,Cold-Shoulder Straight Kurta,604,1099,"Coral pink and peach-coloured printed straight kurta with fringes, has a round neck, three-quarter cold-shoulder sleeves, straight hem, side slits",Cotton  Machine-wash cold
AKS,kurtas/aks/aks-women-navy-blue--white-embroidered-detail-a-line-kurta/2463709/buy,Embroidered A-Line Kurta,1399,1999,"Navy and white embroidered detail A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-blue--magenta-printed-off-shoulder-anarkali-kurta/2111532/buy,Printed Anarkali Kurta,749,1499,"Blue and magenta printed Anarkali kurta, has an off-shoulder neck, short sleeves, flared hem",Viscose Machine-wash
AKS,kurtas/aks/aks-women-blue--off-white-printed-straight-kurta/2249986/buy,Printed Straight Kurta,649,1299,"Blue, off-white and grey printed straight kurta, has a round neck, three-quarter sleeves, slits on the shoulder, button closures on the back, straight hem, side slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--red-printed-anarkali-kurta/2250037/buy,Printed Anarkali Kurta,849,1699,"Navy and red printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits",Viscose Machine-wash
AKS,kurtas/aks/aks-women-beige--peach-coloured-colourblocked-straight-kurta/2448854/buy,Colourblocked Straight Kurta,659,1099,"Beige and peach-coloured colourblocked straight kurta, has a round neck, sleeveless, straight hem, side slits",ViscoseMachine-wash
AKS,kurtas/aks/aks-women-navy--beige-printed-straight-kurta/2262286/buy,Printed Straight Kurta,699,999,"Navy and beige printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-blue--red-printed-straight-kurta/2250039/buy,Printed Straight Kurta,629,899,"Navy blue and red printed straight kurta, has a V-neck, short sleeves, straight hem, side slits",Viscose Machine-wash
AKS,kurtas/aks/aks-women-brown--grey-printed-off-shoulder-a-line-kurta/2111533/buy,Off-Shoulder A-Line Kurta,749,1499,"Brown and grey printed off-shoulder A-line kurta, has short sleeves, flared hem, no slits",Viscose rayon  Machine-wash cold
AKS,kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2167343/buy,Printed Straight Kurta,699,999,"Navy and off-white printed straight kurta, has a round neck with a tie-up detail, three-quarter sleeves, flared hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-maroon--black-printed-off-shoulder-straight-kurta/1945104/buy,Printed Straight Kurta,584,899,"Maroon and black printed straight kurta, has an off-shoulder, sleeveless, straight hem, side slits",Cotton Machine-wash cold
